Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,Electrical,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,MoSold,YrSold,SaleType,SaleCondition,TotalSF,SalePrice
32,20,RL,69.30579531442663,8544,Pave,NOACCESS,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,1228,1,1,3,1,Gd,6,0,NoFP,Attchd,Unf,1.0,TA,Y,6,2008,WD,Normal,2456.0,149350
33,20,RL,85.0,11049,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,SBrkr,1234,2,0,3,1,Gd,7,0,NoFP,Attchd,RFn,2.0,TA,Y,1,2008,WD,Normal,2468.0,179900
34,20,RL,70.0,10552,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,Gd,Y,SBrkr,1700,1,1,4,1,Gd,6,1,Gd,Attchd,RFn,2.0,TA,Y,4,2010,WD,Normal,3098.0,165500
35,120,RL,60.0,7313,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,1561,2,0,2,1,Ex,6,1,Gd,Attchd,Fin,2.0,TA,Y,8,2007,WD,Normal,3122.0,277500
36,60,RL,108.0,13418,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,SBrkr,2452,3,1,4,1,Gd,9,1,Gd,BuiltIn,Fin,3.0,TA,Y,9,2006,WD,Normal,3569.0,309000
37,20,RL,112.0,10859,Pave,NOACCESS,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,1097,1,1,3,1,TA,6,0,NoFP,Attchd,Unf,2.0,TA,Y,6,2009,WD,Normal,2194.0,145000
38,20,RL,74.0,8532,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,Gd,Y,SBrkr,1297,1,0,3,1,TA,5,1,TA,Attchd,Fin,2.0,TA,Y,10,2009,WD,Normal,2594.0,153000
39,20,RL,68.0,7922,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,TA,Y,SBrkr,1057,1,0,3,1,Gd,5,0,NoFP,Detchd,Unf,1.0,TA,Y,1,2010,WD,Abnorml,2114.0,109000
40,90,RL,65.0,6040,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,None,TA,TA,PConc,NoBSMT,NoBSMT,NoBSMT,NoBSMT,NoBSMT,TA,N,FuseP,1152,2,0,2,2,Fa,6,0,NoFP,NoGRG,NoGRG,0.0,NoGRG,N,6,2008,WD,AdjLand,1152.0,82000
41,20,RL,84.0,8658,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,Ex,Y,SBrkr,1324,2,0,3,1,TA,6,1,TA,Attchd,RFn,2.0,TA,Y,12,2006,WD,Abnorml,2412.0,160000
42,20,RL,115.0,16905,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,Gd,Y,SBrkr,1328,1,1,2,1,TA,5,2,Gd,Attchd,RFn,1.0,TA,P,7,2007,WD,Normal,2678.0,170000
43,85,RL,69.30579531442663,9180,Pave,NOACCESS,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,Gd,Y,SBrkr,884,1,0,2,1,Gd,5,0,NoFP,Attchd,RFn,2.0,TA,Y,12,2007,WD,Normal,1724.0,144000
44,20,RL,69.30579531442663,9200,Pave,NOACCESS,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,TA,Y,SBrkr,938,1,0,3,1,TA,5,0,NoFP,Detchd,Unf,1.0,TA,Y,7,2008,WD,Normal,1876.0,130250
45,20,RL,70.0,7945,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,Ex,Y,FuseA,1150,1,0,3,1,TA,6,0,NoFP,Attchd,RFn,1.0,TA,Y,5,2006,WD,Normal,2300.0,141000
46,120,RL,61.0,7658,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,1752,2,0,2,1,Ex,6,1,Gd,Attchd,RFn,2.0,TA,Y,2,2010,WD,Normal,3504.0,319900
47,50,RL,48.0,12822,Pave,NOACCESS,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,2149,1,1,1,1,Gd,6,1,Ex,Attchd,RFn,2.0,TA,Y,8,2009,WD,Abnorml,3583.0,239686
48,20,FV,84.0,11096,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,1656,2,0,3,1,Gd,7,0,NoFP,Attchd,RFn,3.0,TA,Y,7,2007,WD,Normal,3312.0,249700
49,190,RM,33.0,4456,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,1452,2,0,2,3,TA,8,0,NoFP,NoGRG,NoGRG,0.0,NoGRG,N,6,2009,New,Partial,2188.0,113000
50,20,RL,66.0,7742,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,Ex,Y,SBrkr,955,1,0,3,1,TA,6,0,NoFP,Attchd,Unf,1.0,TA,Y,1,2007,WD,Normal,1910.0,127000
51,60,RL,69.30579531442663,13869,Pave,NOACCESS,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,Gd,Y,SBrkr,1470,2,0,3,1,TA,6,0,NoFP,Attchd,Fin,2.0,TA,Y,7,2007,WD,Normal,2264.0,177000
52,50,RM,52.0,6240,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,Unf,TA,Y,SBrkr,1176,1,0,3,1,TA,6,1,Gd,Detchd,Unf,2.0,TA,Y,9,2006,WD,Normal,1632.0,114500
53,90,RM,110.0,8472,Grvl,NOACCESS,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,None,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,TA,N,SBrkr,816,1,0,2,1,TA,5,0,NoFP,CarPort,Unf,2.0,TA,Y,5,2010,WD,Normal,1632.0,110000
54,20,RL,68.0,50271,Pave,NOACCESS,IR1,Low,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShing,Wd Shng,None,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,Gd,Y,SBrkr,1842,0,1,0,1,Gd,5,1,Gd,Attchd,Fin,3.0,TA,Y,11,2006,WD,Normal,3684.0,385000
55,80,RL,60.0,7134,Pave,NOACCESS,Reg,Bnk,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,1360,1,0,3,1,TA,6,1,TA,Detchd,Unf,2.0,TA,Y,2,2007,WD,Normal,1744.0,130000
56,20,RL,100.0,10175,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,Gd,Y,SBrkr,1425,2,0,3,1,TA,7,1,Gd,Attchd,RFn,2.0,TA,Y,7,2008,WD,Normal,2850.0,180500
57,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,1739,2,1,3,1,Gd,7,0,NoFP,Attchd,Fin,2.0,TA,Y,8,2009,WD,Abnorml,2709.0,172500
58,60,RL,89.0,11645,Pave,NOACCESS,IR1,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,1720,2,1,3,1,Gd,7,0,NoFP,Attchd,RFn,2.0,TA,Y,8,2006,WD,Normal,2580.0,196500
59,60,RL,66.0,13682,Pave,NOACCESS,IR2,HLS,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,TA,Gd,Unf,Unf,Ex,Y,SBrkr,2945,3,1,3,1,Gd,10,1,Gd,BuiltIn,Fin,3.0,TA,Y,10,2006,New,Partial,4355.0,438780
60,20,RL,60.0,7200,Pave,NOACCESS,Reg,Bnk,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,Ex,Y,SBrkr,780,1,0,2,1,TA,4,0,NoFP,Detchd,Unf,1.0,TA,Y,1,2008,WD,Normal,1560.0,124900
61,20,RL,63.0,13072,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,ALQ,Unf,Ex,Y,SBrkr,1158,1,1,3,1,Gd,5,0,NoFP,Detchd,Unf,2.0,TA,Y,5,2006,New,Partial,2316.0,158000
62,75,RM,60.0,7200,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,TA,N,SBrkr,1111,1,0,3,1,Fa,6,0,NoFP,Detchd,Unf,1.0,TA,N,3,2007,WD,Normal,1641.0,101000
63,120,RL,44.0,6442,Pave,NOACCESS,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,Gd,Mn,GLQ,Unf,Ex,Y,SBrkr,1370,2,0,2,1,Gd,6,1,Gd,Attchd,RFn,2.0,TA,Y,10,2007,WD,Normal,2740.0,202500
64,70,RM,50.0,10300,Pave,NOACCESS,IR1,Bnk,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,Stucco,Stucco,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,1710,2,0,3,1,TA,9,0,NoFP,Detchd,Unf,2.0,TA,Y,4,2010,WD,Normal,2286.0,140000
65,60,RL,69.30579531442663,9375,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,2034,2,1,3,1,Gd,8,0,NoFP,Attchd,RFn,2.0,TA,Y,2,2009,WD,Normal,3091.0,219500
66,60,RL,76.0,9591,Pave,NOACCESS,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,SBrkr,2473,2,1,4,1,Gd,9,1,Gd,BuiltIn,RFn,3.0,TA,Y,10,2007,WD,Normal,3616.0,317000
